Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Neta o Pagada Propia,1727103.7706000002,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Manuelita
Unidades por kilo mmpp propia*,74.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,5,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1252860.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,5,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1084056.2755671053,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,5,2021,Manuelita
Unidades por kilo mmpp terceros*,53.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,5,2021,Manuelita
Ingreso Materia Bruta Prima Propia,1812461.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1619979.5422999996,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Manuelita
Unidades por kilo mmpp propia*,82.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1261344.5434782607,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1123458.180459423,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Manuelita
Unidades por kilo mmpp terceros*,54.29630929809599,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,1,2021,Manuelita
Ingreso Materia Bruta Prima Propia,1591197.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,8,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1348251.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Manuelita
Unidades por kilo mmpp propia*,77.53987721870779,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,8,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,1196010.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,1022007.0842105263,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2021,Manuelita
Unidades por kilo mmpp terceros*,51.99169019046762,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2021,Manuelita
Ingreso Materia Bruta Prima Propia,2083091.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,2,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,1896639.3229999999,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Manuelita
Unidades por kilo mmpp propia*,77.48722780187764,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,2,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,996710.8167938931,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,2,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,885390.5268228306,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,2,2021,Manuelita
Unidades por kilo mmpp terceros*,54.22401324029476,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,2,2021,Manuelita
Ingreso Materia Bruta Prima Propia,3113981.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,3,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Propia,2780738.5752,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Manuelita
Unidades por kilo mmpp propia*,76.14048258498082,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,3,2021,Manuelita
Ingreso Materia Prima Bruta Terceros,684856.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,3,2021,Manuelita
Ingreso Materia Prima Neta o Pagada Terceros,618059.0145912883,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,3,2021,Manuelita
Unidades por kilo mmpp terceros*,59.66716118225568,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,3,2021,Manuelita
Ingreso Materia Prima Bruta Propia,1001615.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,1,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,742000.9860000001,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Sudmaris
Unidades por kilo mmpp propia*,65,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,1,2021,Sudmaris
Ingreso Materia Prima Bruta Terceros,2371829,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,1,2021,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1996818.919000001,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,1,2021,Sudmaris
