Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Rendimiento Olla mmpp Terceros,,0.263,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,2,2021,Chonchi
Carne,50-100 UNI/KG,2920,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Carne,100-200 UNI/KG,28910,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Carne,200-300 UNI/KG,184370,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Carne,300-500 UNI/KG,347580,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Carne,500-1000 UNI/KG,26730,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Carne,INDUSTRIAL,18090,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Entero,NATURAL,269525.7,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Entero,CON SALSA,32295,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,7,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.217,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,7,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.207,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,7,2021,Chonchi
Carne,50-100 UNI/KG,1400,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Carne,100-200 UNI/KG,726810,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Carne,200-300 UNI/KG,729310,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Carne,300-500 UNI/KG,64580,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Carne,500-1000 UNI/KG,11510,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Carne,INDUSTRIAL,53590,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Media Concha,40-60 UNI/KG,378,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Media Concha,60-80 UNI/KG,1188,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Media Concha,80-100 UNI/KG,225,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Media Concha,100 UP UNI/KG,9,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Entero,NATURAL,245417,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Entero,CON SALSA,69030,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,3,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.266,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,3,2021,Chonchi
Rendimiento Olla mmpp Terceros,,0.27,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,3,2021,Chonchi
Carne,50-100 UNI/KG,4550,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Carne,100-200 UNI/KG,229230,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Carne,200-300 UNI/KG,544424.49,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Carne,300-500 UNI/KG,399010,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Carne,500-1000 UNI/KG,11500,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Carne,INDUSTRIAL,40800,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Media Concha,40-60 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Media Concha,60-80 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Media Concha,80-100 UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Media Concha,100 UP UNI/KG,,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Entero,NATURAL,264680,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Entero,CON SALSA,14024,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Entero,NATURAL,,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Entero,CON SALSA,,Kilos,Kg netos del producto empacados en el mes*,4,2021,Chonchi
Rendimiento Olla mmpp Propia,,0.239,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,4,2021,Chonchi
