Indicador,Valor,Unidad de medida,Definición,Mes,Año,Empresa
Ingreso Materia Prima Bruta Terceros,2337794.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,8,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,2064947.4530000002,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,8,2020,Sudmaris
Unidades por kilo mmpp terceros*,68.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,8,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,0.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,9,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,0.0,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2020,Sudmaris
Unidades por kilo mmpp propia*,0.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,9,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,275793.0,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,9,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,251496.682,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,9,2020,Sudmaris
Unidades por kilo mmpp terceros*,56.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilo de mmpp Neta de terceros al mes,9,2020,Sudmaris
Ingreso Materia Prima Bruta Propia,790211.5,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta al mes,11,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Propia,632160.163,Kilos,Total Kilos mmpp de centros de la empresa ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,Sudmaris
Unidades por kilo mmpp propia*,70.0,uni/kg,Promedio Ponderado del Número de Mejillones por kilos de mmpp Neta propia al mes,11,2020,Sudmaris
Ingreso Materia Prima Bruta Terceros,1782845.5,Kilos,Total Kilos mmpp de centros de terceros ingresados a planta al mes,11,2020,Sudmaris
Ingreso Materia Prima Neta o Pagada Terceros,1600937.825,Kilos,Total Kilos mmpp de centros de  terceros ingresados a planta después de descuentos por calidad al mes. Es la mmpp Pagada,11,2020,Sudmaris
