Producto,Calibre,Valor,Unidad de medida,Definición,Mes,Ano,Empresa
Carne,200-300 UNI/KG,370109,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,300-500 UNI/KG,29570,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,500-1000 UNI/KG,5320,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Carne,INDUSTRIAL,53150,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,40-60 UNI/KG,19539,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,60-80 UNI/KG,19262,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,80-100 UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Media Concha,100 UP UNI/KG,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,NATURAL,311571.9,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,CON SALSA,35497.97,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,NATURAL,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Entero,CON SALSA,0,Kilos,Kg netos del producto empacados en el mes*,1,2021,St Andrews
Rendimiento Olla mmpp Propia,0,0.33,%,Proporción de carne en base a kilos mmpp propia ingresada a planta del mes**,1,2021,St Andrews
Rendimiento Olla mmpp Terceros,0,0.261,%,Proporción de carne en base a kilos mmpp de terceros ingresada a planta del mes**,1,2021,St Andrews
Carne,50-100 UNI/KG,3450,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,100-200 UNI/KG,252780,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,200-300 UNI/KG,380538.8,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,300-500 UNI/KG,32867,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,500-1000 UNI/KG,4980,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
Carne,INDUSTRIAL,35760,Kilos,Kg netos del producto empacados en el mes*,2,2021,St Andrews
