FECHA,PRODUCTO,EMPAQUE,CALIBRE,CANTIDAD,PRECIO CFR,TIPO VENTA,PAIS,EMPRESA,SEMANA,MES,AÑO,MERCADO,Mercados 2,Mercados Carne,Mercados Entero,PRODUCTO EQUIVALENTE,PRODUCTO_EMPAQUE,ALFA,BETA,PRECIO EQUIV.,P*Q,ANTIGIO
2021-05-13 00:00:00,MEDIA CONCHA,RETAIL,C60-80,1882.7570960787132,1.9760130316943942,Spot,Ucrania,Data Mussel,19,5,2021,Uee,Otros uee,Uee,Otros uee,,MEDIA CONCHARETAIL,,,,,
2021-05-13 00:00:00,CARNE,GRANEL,C100-200,4706.892740196783,1.494058633720152,Spot,Uruguay,Data Mussel,19,5,2021,America,America,America,America,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,7032.373736485708,1.494058633720152
2021-05-13 00:00:00,ENTERO,SIN SALSA,C20-40,3761.748677965269,0.9639087959484851,Spot,Uruguay,Data Mussel,19,5,2021,America,America,America,America,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9639087959484851,3625.982638838308,0.9639087959484851
2021-05-14 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.3976677541253033,Spot,Rusia,Data Mussel,19,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,63155.25316895551,1.3976677541253033
2021-05-17 00:00:00,CARNE,GRANEL,C100-200,3765.5141921574264,1.5663517934162883,Spot,Corea,Data Mussel,20,5,2021,Asia,Asia,Asia,Asia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.5663517934162883,5898.1199080202705,1.5663517934162883
2021-05-17 00:00:00,CARNE,GRANEL,C200-300,41420.65611373169,1.494058633720152,Spot,Corea,Data Mussel,20,5,2021,Asia,Asia,Asia,Asia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.494058633720152,61884.88888107423,1.494058633720152
2021-05-18 00:00:00,ENTERO,SIN SALSA,C40-60,38408.24476000575,0.9880065158471971,Spot,Rusia,Data Mussel,20,5,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9880065158471971,37947.596085139645,0.9880065158471971
2021-05-18 00:00:00,CARNE,GRANEL,C200-300,45186.170305889114,1.3976677541253033,Spot,Rusia,Data Mussel,20,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,63155.25316895551,1.3976677541253033
2021-05-19 00:00:00,ENTERO,SIN SALSA,C40-60,19373.570518649958,0.9639087959484851,Spot,Rusia,Data Mussel,20,5,2021,Uee,Rusia,Uee,Rusia,ENTERO SIN SALSA,ENTEROSIN SALSA,0.0,0.0,0.9639087959484851,18674.35503185495,0.9639087959484851
2021-05-19 00:00:00,CARNE,GRANEL,C300-500,21689.361746826777,1.3976677541253033,Spot,Rusia,Data Mussel,20,5,2021,Uee,Rusia,Uee,Rusia,CARNE GRANEL,CARNEGRANEL,0.0,0.0,1.3976677541253033,30314.521521098646,1.3976677541253033
